No,Fase,Bulan/Sprint Target,Modul,Task Teknis,Kategori,Tabel/Model Terkait (Supabase),Prioritas,Status,Catatan,Prompt (Copy-Paste ke AI Coding Agent)
15,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,Setup Google Fonts (Quicksand & Nunito Sans) dan Material Symbols Outlined di root layout Next.js,Infra,-,Tinggi,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup Google Fonts (Quicksand & Nunito Sans) dan Material Symbols Outlined di root layout Next.js
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
16,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Konfigurasi Tailwind theme (warna, radius, shadow) sesuai skema Material Design 3 di SDD bagian 7",Infra,-,Tinggi,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Konfigurasi Tailwind theme (warna, radius, shadow) sesuai skema Material Design 3 di SDD bagian 7
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
17,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Setup ESLint + Prettier + struktur folder konvensi (app/, components/, lib/, types/, supabase/)",Infra,-,Tinggi,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup ESLint + Prettier + struktur folder konvensi (app/, components/, lib/, types/, supabase/)
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
18,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Setup Supabase CLI lokal (supabase init, supabase start) untuk development & migration lokal sebelum push ke cloud",Infra,-,Tinggi,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup Supabase CLI lokal (supabase init, supabase start) untuk development & migration lokal sebelum push ke cloud
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
19,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,Setup backup otomatis database (Point-in-Time Recovery Supabase) & jadwal snapshot,Infra,-,Menengah,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup backup otomatis database (Point-in-Time Recovery Supabase) & jadwal snapshot
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
20,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,"Migration tabel profiles (id UUID FK ke auth.users, parent_name, parent_phone, role enum 'parent'/'admin'/'tutor')",DB,profiles,Wajib,Belum Dikerjakan,,"Migration tabel profiles (id UUID FK ke auth.users, parent_name, parent_phone, role enum 'parent'/'admin'/'tutor')
Acuan: kolom, tipe data, relasi (foreign key), dan constraint tabel `profiles` harus mengikuti Kamus Data di Software Design Description (SDD) Bimbel Grase (bagian 4.2) — jangan menambah/mengurangi kolom di luar dokumen itu tanpa didiskusikan dulu. Tulis migration SQL di folder `supabase/migrations/`, sertakan Row Level Security (RLS) policy dasar (Orang Tua hanya boleh akses baris miliknya sendiri, Admin Pusat boleh akses semua) di migration yang sama. Jalankan migration ke database Supabase (lokal/staging) dan tunjukkan output terminalnya sebagai bukti tidak ada error."
21,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Data Master,"Migration tabel programs (id, name, target_age, tutor, schedule, fee, description, created_at)",DB,programs,Wajib,Belum Dikerjakan,,"Migration tabel programs (id, name, target_age, tutor, schedule, fee, description, created_at)
Acuan: kolom, tipe data, relasi (foreign key), dan constraint tabel `programs` harus mengikuti Kamus Data di Software Design Description (SDD) Bimbel Grase (bagian 4.2) — jangan menambah/mengurangi kolom di luar dokumen itu tanpa didiskusikan dulu. Tulis migration SQL di folder `supabase/migrations/`, sertakan Row Level Security (RLS) policy dasar (Orang Tua hanya boleh akses baris miliknya sendiri, Admin Pusat boleh akses semua) di migration yang sama. Jalankan migration ke database Supabase (lokal/staging) dan tunjukkan output terminalnya sebagai bukti tidak ada error."
22,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Data Master,"Migration tabel students (id, parent_id FK, student_name, age, program_id FK, payment_status enum 'unpaid'/'pending'/'verified', billing_period, billing_count, receipt_file_path, avatar_url, created_at)",DB,students,Wajib,Belum Dikerjakan,,"Migration tabel students (id, parent_id FK, student_name, age, program_id FK, payment_status enum 'unpaid'/'pending'/'verified', billing_period, billing_count, receipt_file_path, avatar_url, created_at)
Acuan: kolom, tipe data, relasi (foreign key), dan constraint tabel `students` harus mengikuti Kamus Data di Software Design Description (SDD) Bimbel Grase (bagian 4.2) — jangan menambah/mengurangi kolom di luar dokumen itu tanpa didiskusikan dulu. Tulis migration SQL di folder `supabase/migrations/`, sertakan Row Level Security (RLS) policy dasar (Orang Tua hanya boleh akses baris miliknya sendiri, Admin Pusat boleh akses semua) di migration yang sama. Jalankan migration ke database Supabase (lokal/staging) dan tunjukkan output terminalnya sebagai bukti tidak ada error."
23,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,Setup Row Level Security (RLS) dasar: profiles & students hanya bisa dibaca/diubah oleh pemiliknya sendiri atau role admin,DB,"profiles, students",Wajib,Belum Dikerjakan,,"Setup Row Level Security (RLS) dasar: profiles & students hanya bisa dibaca/diubah oleh pemiliknya sendiri atau role admin
Acuan: kolom, tipe data, relasi (foreign key), dan constraint tabel `profiles, students` harus mengikuti Kamus Data di Software Design Description (SDD) Bimbel Grase (bagian 4.2) — jangan menambah/mengurangi kolom di luar dokumen itu tanpa didiskusikan dulu. Tulis migration SQL di folder `supabase/migrations/`, sertakan Row Level Security (RLS) policy dasar (Orang Tua hanya boleh akses baris miliknya sendiri, Admin Pusat boleh akses semua) di migration yang sama. Jalankan migration ke database Supabase (lokal/staging) dan tunjukkan output terminalnya sebagai bukti tidak ada error."
24,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Data Master,Seed data awal Program/Kelas (dari keputusan bisnis Fase 0 #5) via migration/seed script,DB,programs,Tinggi,Belum Dikerjakan,Bergantung keputusan bisnis #5,"Seed data awal Program/Kelas (dari keputusan bisnis Fase 0 #5) via migration/seed script
Acuan: kolom, tipe data, relasi (foreign key), dan constraint tabel `programs` harus mengikuti Kamus Data di Software Design Description (SDD) Bimbel Grase (bagian 4.2) — jangan menambah/mengurangi kolom di luar dokumen itu tanpa didiskusikan dulu. Tulis migration SQL di folder `supabase/migrations/`, sertakan Row Level Security (RLS) policy dasar (Orang Tua hanya boleh akses baris miliknya sendiri, Admin Pusat boleh akses semua) di migration yang sama. Jalankan migration ke database Supabase (lokal/staging) dan tunjukkan output terminalnya sebagai bukti tidak ada error."
25,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,Setup Supabase Auth Email/Password + Postgres trigger auto-create baris profiles saat user baru sign up,Backend,profiles,Wajib,Belum Dikerjakan,,"Setup Supabase Auth Email/Password + Postgres trigger auto-create baris profiles saat user baru sign up
Acuan struktur data: tabel/model `profiles` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
26,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,Middleware Next.js (middleware.ts) untuk proteksi route berdasarkan status login & role (parent vs admin vs tutor),Backend,profiles,Wajib,Belum Dikerjakan,,"Middleware Next.js (middleware.ts) untuk proteksi route berdasarkan status login & role (parent vs admin vs tutor)
Acuan struktur data: tabel/model `profiles` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
27,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,Server action/util evaluasi role & redirect otomatis ke dashboard sesuai peran (mirip FR-AUTH-002),Backend,profiles,Wajib,Belum Dikerjakan,,"Server action/util evaluasi role & redirect otomatis ke dashboard sesuai peran (mirip FR-AUTH-002)
Acuan struktur data: tabel/model `profiles` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
28,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Autentikasi & Roles,Implementasi lupa password / reset password via Supabase Auth (magic link/email),Backend,profiles,Tinggi,Belum Dikerjakan,,"Implementasi lupa password / reset password via Supabase Auth (magic link/email)
Acuan struktur data: tabel/model `profiles` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
29,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Landing & Auth UI,"Bangun Landing Page dari markup prototype (hero section, katalog program renderLandingPrograms, CTA daftar/login)",UI,programs,Wajib,Belum Dikerjakan,Bagian: Landing Page,"Bangun Landing Page dari markup prototype (hero section, katalog program renderLandingPrograms, CTA daftar/login)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Landing & Auth UI) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `programs` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
30,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Landing & Auth UI,"Bangun halaman Login (email/password) dari markup prototype (handleLoginSubmit), styling Quicksand/Nunito Sans",UI,profiles,Wajib,Belum Dikerjakan,Bagian: Login View,"Bangun halaman Login (email/password) dari markup prototype (handleLoginSubmit), styling Quicksand/Nunito Sans
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Landing & Auth UI) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `profiles` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
31,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Landing & Auth UI,"Bangun tombol Quick Demo Access (loginAsParentDirectly/loginAsAdminDirectly) — aktif hanya di environment staging/demo, dimatikan di production",UI,profiles,Menengah,Belum Dikerjakan,Bagian: Quick Demo Access,"Bangun tombol Quick Demo Access (loginAsParentDirectly/loginAsAdminDirectly) — aktif hanya di environment staging/demo, dimatikan di production
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Landing & Auth UI) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `profiles` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
32,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Layout & Navigasi,"Bangun layout utama aplikasi (Header + Navigation Bar + Bottom Navigation mobile) sesuai prototype (switchView, toggleAdminSidebarMobile)",UI,-,Wajib,Belum Dikerjakan,Bagian: Header Navigation Bar,"Bangun layout utama aplikasi (Header + Navigation Bar + Bottom Navigation mobile) sesuai prototype (switchView, toggleAdminSidebarMobile)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Layout & Navigasi) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `-` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
33,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Layout & Navigasi,"Bangun komponen Toast Notification global (showToast) — floating, pojok kanan atas, reusable di seluruh aplikasi",UI,-,Tinggi,Belum Dikerjakan,Bagian: Toast Notification Banner,"Bangun komponen Toast Notification global (showToast) — floating, pojok kanan atas, reusable di seluruh aplikasi
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Layout & Navigasi) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `-` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
